Top 10 Parameter Combinations:
    vague_threshold  debit_adjustment  probability_threshold        f1  precision    recall
19              0.5               0.2                    0.6  0.705820        1.0  0.546405
12              0.4               0.3                    0.5  0.705088        1.0  0.546405
6               0.3               0.4                    0.5  0.703246        1.0  0.547059
10              0.4               0.2                    0.6  0.703246        1.0  0.547059
15              0.4               0.4                    0.5  0.703246        1.0  0.547059
9               0.4               0.2                    0.5  0.695314        1.0  0.533987
22              0.5               0.3                    0.6  0.693153        1.0  0.536601
25              0.5               0.4                    0.6  0.686040        1.0  0.524183
4               0.3               0.3                    0.6  0.685877        1.0  0.523529
7               0.3               0.4                    0.6  0.685714        1.0  0.522876
