vague_threshold,debit_adjustment,probability_threshold,precision,recall,f1,std_dev
0.5,0.2,0.6,1.0,0.54640522875817,0.7058201058201057,0.03339626209113122
0.4,0.3,0.5,1.0,0.54640522875817,0.705087505087505,0.04638562051120398
0.3,0.4,0.5,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.4,0.2,0.6,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.4,0.4,0.5,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.4,0.2,0.5,1.0,0.5339869281045752,0.6953138815207781,0.03366645850436308
0.5,0.3,0.6,1.0,0.5366013071895426,0.693152569014638,0.08140546582286413
0.5,0.4,0.6,1.0,0.5241830065359477,0.686039886039886,0.0484296965490046
0.3,0.3,0.6,1.0,0.5235294117647059,0.6858770858770858,0.04288741562392163
0.3,0.4,0.6,1.0,0.5228758169934641,0.6857142857142857,0.03651263236447505
