vague_threshold,debit_adjustment,probability_threshold,precision,recall,f1,std_dev
0.3,0.2,0.5,1.0,0.5013071895424837,0.666096866096866,0.04775459108776513
0.3,0.2,0.6,1.0,0.5124183006535947,0.6763532763532764,0.04075568032421118
0.3,0.2,0.7,1.0,0.43267973856209146,0.6021538461538463,0.05224974165446735
0.3,0.3,0.5,1.0,0.5,0.6657289377289378,0.03538813108676872
0.3,0.3,0.6,1.0,0.5235294117647059,0.6858770858770858,0.04288741562392163
0.3,0.3,0.7,1.0,0.5019607843137255,0.6640146520146519,0.07589763955450915
0.3,0.4,0.5,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.3,0.4,0.6,1.0,0.5228758169934641,0.6857142857142857,0.03651263236447505
0.3,0.4,0.7,1.0,0.4784313725490196,0.6453333333333333,0.05108227754860704
0.4,0.2,0.5,1.0,0.5339869281045752,0.6953138815207781,0.03366645850436308
0.4,0.2,0.6,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.4,0.2,0.7,1.0,0.47973856209150323,0.6417582417582418,0.09462042589727146
0.4,0.3,0.5,1.0,0.54640522875817,0.705087505087505,0.04638562051120398
0.4,0.3,0.6,1.0,0.5117647058823529,0.6761904761904762,0.033937684459781584
0.4,0.3,0.7,1.0,0.4901960784313725,0.655019943019943,0.06240805452633832
0.4,0.4,0.5,1.0,0.5470588235294118,0.703246179108248,0.07036999282541151
0.4,0.4,0.6,1.0,0.5235294117647059,0.6844102564102564,0.0603435072015442
0.4,0.4,0.7,1.0,0.4790849673202614,0.6447635327635327,0.06384852326738608
0.5,0.2,0.5,1.0,0.5124183006535947,0.6763532763532764,0.04075568032421118
0.5,0.2,0.6,1.0,0.54640522875817,0.7058201058201057,0.03339626209113122
0.5,0.2,0.7,1.0,0.44379084967320265,0.6133333333333334,0.044621868081817326
0.5,0.3,0.5,1.0,0.5124183006535947,0.6763532763532764,0.04075568032421118
0.5,0.3,0.6,1.0,0.5366013071895426,0.693152569014638,0.08140546582286413
0.5,0.3,0.7,1.0,0.4784313725490196,0.6445584045584045,0.05960172792004797
0.5,0.4,0.5,1.0,0.5124183006535947,0.6763532763532764,0.04075568032421118
0.5,0.4,0.6,1.0,0.5241830065359477,0.686039886039886,0.0484296965490046
0.5,0.4,0.7,1.0,0.511764705882353,0.6761481481481482,0.033907483261439914
