debit_adjustment,probability_threshold,max_tokens,batch_size,precision,recall,f1,std_dev
0.1,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.1,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.1,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.2,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.4,1000,50,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.3,0.4,1000,100,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
0.4,0.4,1000,75,1.0,0.9416376811594203,0.9694449373952481,0.02270270753519078
